,전국,전국,전국,전국,01수도권,01수도권,01수도권,01수도권,02충청권,02충청권,02충청권,02충청권,03호남권,03호남권,03호남권,03호남권,04경북권,04경북권,04경북권,04경북권,05경남권,05경남권,05경남권,05경남권,06강원,06강원,06강원,06강원,07제주,07제주,07제주,07제주,비수도권,비수도권,비수도권,비수도권
접종일,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차,1차,2차,3차,4차
2021-02-26,38644,11000,1,0,19479,5545,0,0,4174,1188,0,0,3864,1101,0,0,3695,1050,0,0,5768,1641,0,0,1156,329,0,0,505,144,0,0,19164,5454,0,0
2021-02-27,1744,212,0,0,879,106,0,0,188,22,0,0,174,21,0,0,166,20,0,0,260,31,0,0,52,6,0,0,22,2,0,0,864,105,0,0
2021-02-28,1030,101,0,0,519,50,0,0,111,10,0,0,103,10,0,0,98,9,0,0,153,15,0,0,30,3,0,0,13,1,0,0,510,50,0,0
2021-03-01,1934,255,0,0,974,128,0,0,208,27,0,0,193,25,0,0,184,24,0,0,288,38,0,0,57,7,0,0,25,3,0,0,959,126,0,0
2021-03-02,66228,289,1,0,33384,145,0,0,7153,31,0,0,6622,28,0,0,6332,27,0,0,9885,43,0,0,1981,8,0,0,867,3,0,0,32843,143,0,0
2021-03-03,69385,295,0,0,34976,148,0,0,7494,31,0,0,6938,29,0,0,6634,28,0,0,10356,44,0,0,2076,8,0,0,908,3,0,0,34408,146,0,0
2021-03-04,70701,507,0,0,35639,255,0,0,7636,54,0,0,7070,50,0,0,6760,48,0,0,10553,75,0,0,2115,15,0,0,925,6,0,0,35061,251,0,0
2021-03-05,71159,409,0,0,35870,206,0,0,7686,44,0,0,7115,40,0,0,6803,39,0,0,10621,61,0,0,2129,12,0,0,931,5,0,0,35288,202,0,0
2021-03-06,18466,157,0,0,9308,79,0,0,1994,16,0,0,1846,15,0,0,1765,14,0,0,2756,23,0,0,552,4,0,0,241,2,0,0,9157,77,0,0
2021-03-07,2428,96,0,0,1223,48,0,0,262,10,0,0,242,9,0,0,232,9,0,0,362,14,0,0,72,2,0,0,31,1,0,0,1204,47,0,0
2021-03-08,68102,260,0,0,34329,131,0,0,7356,28,0,0,6810,26,0,0,6511,24,0,0,10165,38,0,0,2037,7,0,0,891,3,0,0,33772,128,0,0
2021-03-09,64266,462,0,0,32395,232,0,0,6941,49,0,0,6426,46,0,0,6144,44,0,0,9592,68,0,0,1923,13,0,0,841,6,0,0,31870,229,0,0
2021-03-10,55016,569,0,0,27732,286,0,0,5942,61,0,0,5501,56,0,0,5260,54,0,0,8211,84,0,0,1646,17,0,0,720,7,0,0,27283,282,0,0
2021-03-11,45434,655,0,0,22902,330,0,0,4907,70,0,0,4543,65,0,0,4344,62,0,0,6781,97,0,0,1359,19,0,0,594,8,0,0,22531,324,0,0
2021-03-12,39191,582,0,0,19755,293,0,0,4233,62,0,0,3919,58,0,0,3747,55,0,0,5849,86,0,0,1172,17,0,0,513,7,0,0,19435,288,0,0
2021-03-13,4484,204,0,0,2260,102,0,0,484,22,0,0,448,20,0,0,428,19,0,0,669,30,0,0,134,6,0,0,58,2,0,0,2223,101,0,0
2021-03-14,1796,134,0,0,905,67,0,0,193,14,0,0,179,13,0,0,171,12,0,0,268,19,0,0,53,4,0,0,23,1,0,0,890,66,0,0
2021-03-15,14176,1168,0,0,7145,588,0,0,1531,126,0,0,1417,116,0,0,1355,111,0,0,2115,174,0,0,424,34,0,0,185,15,0,0,7030,579,0,0
2021-03-16,20508,1032,0,0,10337,520,0,0,2215,111,0,0,2050,103,0,0,1960,98,0,0,3061,153,0,0,613,30,0,0,268,13,0,0,10170,511,0,0
2021-03-17,21407,913,0,0,10790,460,0,0,2312,98,0,0,2140,91,0,0,2046,87,0,0,3195,136,0,0,640,27,0,0,280,11,0,0,10616,452,0,0
2021-03-18,20756,887,0,0,10462,447,0,0,2241,95,0,0,2075,88,0,0,1984,84,0,0,3098,132,0,0,621,26,0,0,271,11,0,0,10293,439,0,0
2021-03-19,18551,1001,0,0,9351,504,0,0,2003,108,0,0,1855,100,0,0,1773,95,0,0,2768,149,0,0,555,29,0,0,242,13,0,0,9199,496,0,0
2021-03-20,1980,537,0,0,998,270,0,0,213,58,0,0,198,53,0,0,189,51,0,0,295,80,0,0,59,16,0,0,25,7,0,0,981,266,0,0
2021-03-21,816,446,0,0,411,224,0,0,88,48,0,0,81,44,0,0,78,42,0,0,121,66,0,0,24,13,0,0,10,5,0,0,404,221,0,0
2021-03-22,4887,758,0,0,2463,382,0,0,527,81,0,0,488,75,0,0,467,72,0,0,729,113,0,0,146,22,0,0,63,9,0,0,2423,375,0,0
2021-03-23,21594,1299,0,0,10885,654,0,0,2332,140,0,0,2159,130,0,0,2064,124,0,0,3223,193,0,0,646,38,0,0,282,17,0,0,10708,644,0,0
2021-03-24,29416,1621,0,0,14828,817,0,0,3177,175,0,0,2941,162,0,0,2812,154,0,0,4390,241,0,0,880,48,0,0,385,21,0,0,14587,803,0,0
2021-03-25,33844,1957,0,0,17060,986,0,0,3655,211,0,0,3384,195,0,0,3236,186,0,0,5051,291,0,0,1012,58,0,0,443,25,0,0,16783,970,0,0
2021-03-26,25802,2110,0,0,13006,1063,0,0,2787,227,0,0,2580,211,0,0,2467,201,0,0,3851,314,0,0,772,63,0,0,337,27,0,0,12795,1046,0,0
2021-03-27,2484,388,0,0,1252,195,0,0,268,41,0,0,248,38,0,0,237,37,0,0,370,57,0,0,74,11,0,0,32,5,0,0,1231,192,0,0
2021-03-28,865,254,0,0,436,128,0,0,93,27,0,0,86,25,0,0,82,24,0,0,129,37,0,0,25,7,0,0,11,3,0,0,428,125,0,0
2021-03-29,26779,1446,0,0,13498,728,0,0,2892,156,0,0,2677,144,0,0,2560,138,0,0,3997,215,0,0,801,43,0,0,350,18,0,0,13280,717,0,0
2021-03-30,28811,2760,0,0,14523,1391,0,0,3112,298,0,0,2881,276,0,0,2754,263,0,0,4300,411,0,0,862,82,0,0,377,36,0,0,14287,1368,0,0
2021-03-31,23953,5433,0,0,12074,2738,0,0,2587,586,0,0,2395,543,0,0,2290,518,0,0,3575,810,0,0,716,162,0,0,313,71,0,0,11878,2694,0,0
